Number,Polish word,English word,Part of speach,Number of letters,Frequency,Val_Mean,SD,Mean,SD,Mean,SD,Aro_Mean,SD,Mean,SD,Mean,SD,Dom_Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Number of English meanings,ANEW Number,ANEW second meaning Number,ANEW third meaning Number
1,aborcja,abortion,N,7,30,2.37,1.96,2.55,2.26,2.19,1.63,6.35,2.82,6.05,3.09,6.65,2.56,4.15,3.23,4.23,3.56,4.05,2.9,5.5,2.89,5.82,2.91,5.15,2.91,6.67,3.14,5.55,3.58,7.9,2,5.14,3.02,4.74,2.96,5.63,3.09,,,,
2,absolwent,graduate,N,9,206,7.18,1.74,7.26,2,7.11,1.49,4.44,2.75,4,2.71,4.9,2.77,6.48,2.12,7.17,2.09,5.91,2.02,6.36,2.42,6.05,2.82,6.64,2.01,5.98,2.59,6.15,2.76,5.82,2.48,5.05,2.53,4.55,2.61,5.5,2.43,,192,,
3,absurd,absurd,N,6,623,4.64,1.61,4.78,1.51,4.47,1.74,5.05,2.43,5.29,2.15,4.8,2.73,4.68,2.17,4.74,1.66,4.61,2.75,5,2.72,4.05,2.5,5.95,2.65,4.12,2.13,4,2.34,4.23,1.97,5.57,2.44,5.45,2.61,5.7,2.3,,623,,
4,afront,affront,N,6,95,3.33,1.68,3.1,1.7,3.57,1.66,4.68,2.21,4.41,2.04,5,2.4,4.64,1.95,4.73,2.03,4.55,1.9,4.26,2.07,4.48,2.17,4,1.97,3.69,1.84,3.43,1.78,3.95,1.91,5.17,2.28,4.7,2.08,5.62,2.42,,,,
5,agonia,agony,N,6,143,2.52,1.84,2.48,1.86,2.58,1.87,4.98,3.06,4.86,3.31,5.1,2.86,3.1,2.23,3.48,2.43,2.61,1.91,3.64,2.08,4.1,2.36,3.19,1.69,6,2.39,5.85,2.37,6.14,2.46,4.12,2.12,4.55,1.84,3.65,2.35,,10,,
6,agresywność,aggressiveness,N,11,64,2.55,2.13,2.67,2.18,2.43,2.13,7.77,1.57,7.68,1.73,7.86,1.42,6.23,2.76,6.38,2.92,6.05,2.63,4.1,2.75,4.33,2.92,3.85,2.6,5.07,2.63,5.18,2.28,4.95,3.02,3.95,2.49,3.69,2.38,4.38,2.68,,,,
7,agresywny,aggressive,A,9,247,3.29,2.4,3.26,2.51,3.32,2.33,7.27,2.44,8.24,1,6.25,3.06,6.63,2.74,6.74,2.47,6.5,3.11,3.76,2.22,3.9,2.28,3.62,2.2,5.24,2.64,4.6,2.87,5.82,2.32,3.98,2.61,3.91,2.81,4.05,2.44,,9,,
8,akceptacja,acceptance,N,10,98,7.43,1.59,7.42,1.74,7.45,1.4,3.49,2.37,3.5,2.44,3.49,2.33,5.76,2.52,6,2.67,5.47,2.32,4.58,2.34,4.37,2.48,4.8,2.09,6.46,2.36,6.86,2.06,6.03,2.53,4.79,2.92,4.38,3.14,5.19,2.66,,625,,
9,aktualności,news,N,11,81,5.5,1.82,5.95,1.15,5.09,2.22,4.93,2.5,4.53,2.41,5.27,2.59,5.5,2.3,5.71,1.76,5.29,2.76,5.91,2.39,6,2.35,5.82,2.48,5.33,2.53,5.8,2.24,4.85,2.76,6.08,2.12,5.89,1.84,6.23,2.35,,901,,
10,aktywność,activity,N,9,633,7.36,1.27,7.74,1.1,6.89,1.33,6.83,1.94,7.13,1.69,6.47,2.2,6.59,2.54,6.27,2.57,6.95,2.53,5.83,2.76,5.8,3.02,5.86,2.57,6.95,2.25,7.17,2.12,6.7,2.41,4.33,2.64,4.91,2.6,3.7,2.6,,,,
11,aktywować,activate,V,9,9,6.26,1.68,6.52,1.86,5.95,1.43,5.49,2.35,5.62,1.96,5.35,2.74,6.34,2.19,6.83,1.97,5.72,2.35,5.93,2.3,5.52,2.36,6.33,2.22,5.48,2.55,5.85,2.16,5.14,2.87,4.76,2.27,4.45,2.44,5.1,2.07,,4,,
12,alarm,alert / alarm,N,5,1646,3.76,2.07,3.96,1.74,3.53,2.44,6.83,1.95,7.19,1.89,6.45,1.99,4.39,2.51,4.78,2.52,3.89,2.47,5.1,2.25,4.95,2.16,5.24,2.39,5.55,2.51,5.35,2.85,5.73,2.21,5.1,2.29,5.23,2.27,4.95,2.37,2,11,,
13,aleja,alley / avenue,N,5,864,5.64,1.66,5.86,1.58,5.4,1.76,2.76,1.55,2.65,1.3,2.89,1.84,4.48,2.11,4,1.48,4.95,2.54,4.05,2.11,3.75,1.52,4.33,2.56,3.29,2.43,2.86,1.75,3.75,2.99,6.19,2.05,6.68,1.67,5.65,2.32,2,646,,
14,alergia,allergy,N,7,15,3.31,1.75,3.65,1.94,2.89,1.41,4.37,2.46,5.19,2.27,3.5,2.4,2.9,1.97,2.65,2.06,3.22,1.86,5.74,2.21,5.9,2.28,5.57,2.18,4.24,2.37,4.35,2.72,4.14,2.05,4.5,2.62,4.64,2.8,4.35,2.48,,636,,
