Words,Translation,Valence_Mean,ET,Arousal_Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET
abeille,bee,4.22,2.50,4.08,2.88,4.75,2.79,5.00,3.29,3.80,2.21,3.35,2.35
abonné,suscriber,4.53,1.77,4.25,2.01,4.50,2.11,4.33,2.77,4.54,1.71,4.23,1.86
abricot,apricot,6.55,1.64,3.60,1.83,6.00,1.00,3.67,2.24,6.62,1.70,3.59,1.79
absent,absent,3.42,1.81,4.19,2.34,4.75,0.71,2.88,2.30,3.27,1.84,4.34,2.32
abstrait,abstract,4.72,1.59,3.86,2.20,5.42,1.98,4.75,2.86,4.59,1.49,3.69,2.05
accordéon,accordion,5.70,1.89,4.35,2.50,5.22,1.86,5.44,2.40,5.76,1.89,4.21,2.49
acide,acidic,3.47,1.95,5.47,2.45,4.38,1.77,5.25,2.55,3.37,1.95,5.49,2.45
agneau,lamb,6.35,2.00,3.51,2.14,6.47,1.84,3.47,2.03,6.25,2.17,3.55,2.28
agréable,pleasurable,8.29,1.26,5.04,2.86,8.00,1.28,5.00,2.95,8.34,1.25,5.05,2.86
aide,help,7.08,1.61,4.81,2.57,7.18,2.07,5.00,2.85,7.00,1.12,4.65,2.37
aigle,eagle,6.53,1.96,5.03,2.61,6.59,2.03,4.76,2.66,6.48,1.94,5.24,2.62
aiguille,needle,3.90,1.76,4.34,2.73,4.28,1.96,4.78,2.67,3.69,1.64,4.09,2.77
ail ,garlic,4.22,2.08,3.68,2.45,4.88,1.69,3.47,2.62,3.65,2.25,3.85,2.35
aile ,wing,6.05,1.86,4.41,2.77,5.82,1.63,3.59,2.74,6.25,2.05,5.10,2.67
aisance,ease,7.26,1.45,3.25,2.19,7.33,1.22,3.00,2.00,7.25,1.49,3.28,2.22
album,album,6.34,1.50,4.34,2.30,5.75,1.49,2.63,1.85,6.41,1.50,4.54,2.27
alcool,alcohol,5.64,2.71,5.60,2.87,6.44,2.31,6.33,2.57,5.19,2.84,5.19,2.99
algèbre,algebra,3.87,2.19,4.54,2.61,3.92,1.83,3.92,2.61,3.86,2.26,4.65,2.62
allégorie,allegory,5.42,1.19,3.86,2.09,5.22,1.56,4.22,2.11,5.45,1.15,3.81,2.10
alligator,alligator,4.05,2.06,5.43,2.25,4.75,1.16,5.38,1.51,3.97,2.13,5.44,2.33
allumette ,match,5.32,1.93,4.70,2.79,5.29,1.96,4.29,2.85,5.35,1.95,5.05,2.76
ambition,ambition,7.60,1.51,6.60,2.30,6.67,1.87,5.50,2.78,7.77,1.38,6.80,2.17
ambulance ,ambulance,3.22,1.90,3.97,3.09,3.76,1.95,4.59,2.65,2.75,1.77,3.45,3.39
âme,soul,7.12,1.50,4.03,2.58,6.33,2.18,4.22,3.35,7.22,1.38,4.00,2.49
amer,bitter,2.80,1.36,4.24,2.20,3.88,1.25,4.00,2.39,2.68,1.33,4.27,2.20
ami,friend,7.94,1.73,6.17,2.83,7.71,1.96,5.94,3.23,8.15,1.53,6.36,2.52
amitié,friendship,8.38,0.96,6.49,2.59,7.83,1.27,6.33,2.50,8.48,0.87,6.52,2.62
amour,love,6.61,2.93,6.67,2.72,6.41,2.72,5.65,3.08,6.78,3.16,7.54,2.07
ampoule,lightbulb,5.06,1.33,3.00,2.33,5.28,1.13,4.06,2.71,4.94,1.44,2.41,1.88
ananas,pineapple,5.70,2.38,4.35,2.97,5.88,2.42,4.12,3.31,5.55,2.39,4.55,2.72
anarchie,anarchy,3.53,2.10,6.30,2.54,5.44,1.74,5.44,2.35,3.28,2.02,6.41,2.56
ancien,old,5.46,1.78,3.80,2.07,5.00,0.93,3.63,2.33,5.51,1.85,3.82,2.05
ancre,anchor,4.96,1.27,3.81,2.12,5.33,0.78,3.08,2.19,4.89,1.34,3.94,2.09
âne,donkey,5.30,2.16,3.46,2.40,5.00,1.62,3.12,2.09,5.55,2.54,3.75,2.65
ange ,angel,7.59,1.40,4.41,2.76,7.47,1.46,4.35,2.87,7.70,1.38,4.45,2.74
année,year,4.86,2.23,3.84,2.76,4.94,1.89,3.12,2.62,4.80,2.53,4.45,2.80
antenne ,aerial,4.80,1.28,2.96,1.96,4.61,1.58,3.67,1.88,4.91,1.09,2.56,1.92
anxiété,anxiety,1.99,1.56,6.37,2.92,2.63,1.30,4.00,2.78,1.92,1.57,6.63,2.83
appareil,device,5.27,1.90,4.03,2.54,4.94,1.95,4.18,2.58,5.55,1.85,3.90,2.57
aptitude,skill,6.71,1.36,5.06,2.33,6.67,1.61,4.67,3.08,6.72,1.32,5.14,2.19
aquarium,aquarium,6.60,1.43,3.30,2.31,5.78,1.64,3.78,2.49,6.71,1.37,3.24,2.29
araignée,spider,3.30,2.09,5.78,2.74,3.94,2.22,5.82,2.48,2.75,1.86,5.75,3.01
arbre,tree,6.45,2.16,3.42,2.31,6.76,2.19,2.88,2.37,6.19,2.16,3.86,2.22
arc ,bow,4.73,1.74,3.62,2.49,5.65,1.32,4.00,2.85,3.95,1.70,3.30,2.15
ardu,laborious,4.20,1.71,4.62,2.37,4.63,0.92,4.00,2.45,4.15,1.77,4.69,2.36
argent,money,6.65,2.35,6.24,2.28,6.06,2.68,5.71,2.66,7.15,1.95,6.70,1.84
arme,weapon,3.80,2.70,5.10,2.81,5.17,2.98,6.11,2.45,3.03,2.22,4.53,2.87
armée,army,2.79,1.91,6.01,2.58,3.33,1.61,6.08,2.68,2.69,1.95,6.00,2.58
armoire,closet,5.14,0.87,3.13,1.81,4.89,1.27,3.67,1.73,5.18,0.81,3.06,1.82
arrosoir,watering can,4.78,1.70,2.97,2.41,5.29,1.49,3.24,2.75,4.35,1.79,2.75,2.12
art,art,7.19,1.70,5.03,2.54,7.00,1.85,4.75,2.71,7.21,1.70,5.06,2.53
artichaut,artichoke,5.01,2.10,3.39,2.05,4.92,1.78,3.75,2.05,5.03,2.16,3.32,2.05
aspect,appearance,5.12,1.16,3.74,2.09,4.11,1.36,5.00,2.06,5.25,1.07,3.57,2.05
asperge,asparagus,5.15,2.06,3.37,2.06,4.75,2.19,3.00,2.14,5.20,2.05,3.41,2.06
aspirateur ,vacuum cleaner,3.62,2.15,3.76,2.78,4.47,2.24,4.47,2.79,2.90,1.83,3.15,2.70
