word;nSub;ValenceM;ValenceSD;ArousalM;ArousalSD;HappyM;HappySD;AngerM;AngerSD;SadM;SadSD;FearM;FearSD;DisgustM;DisgustSD;ConcretenessM;ConcretenessSD
ANNE;38;5.675675676;3.742058658;7.27027027;2.329146823;89;20.4883242;11.47222222;25.58736978;20.83783784;33.51161781;16.38888889;27.7573957;0.571428571;2.648925579;78.11764706;28.85361666
MADALYA;35;7.470588235;1.618740515;5.735294118;2.550208827;73.5;29.13434991;3.933333333;11.46789622;8.166666667;22.55121884;5.965517241;18.73591425;1;2.406886671;85.21212121;16.59397024
GÜN IŞIĞI;39;6.128205128;2.811437984;6.076923077;2.156808258;78.55555556;23.7335741;2.8;7.128237139;10.76470588;21.6207796;4.264705882;12.83770211;1.088235294;3.50210021;77.69444444;28.08539981
AĞAÇ;35;7.685714286;1.658692408;4.657142857;2.519837263;80.80645161;23.78713848;8.896551724;20.22612319;17.20689655;30.49868769;8.24137931;18.62535747;1.607142857;4.74020851;93.93939394;10.95713065
IRMAK;37;6.891891892;1.646271609;5.189189189;2.234052594;72.46875;26.2727436;4.193548387;9.877311898;9.870967742;19.82547509;21.6875;30.74813134;1.838709677;7.028972301;83.08571429;26.26826695
İYİLEŞMEK;39;8.384615385;0.846521819;6.153846154;2.242396058;87.78378378;16.91996706;4.315789474;9.959662599;7.736842105;17.39630935;8.083333333;17.97200203;2;4.5704364;45.85714286;34.82320293
EKMEK;35;6.885714286;1.567527626;5;2.42535625;69.70967742;26.50810385;6.633333333;13.41507987;11.96666667;21.49816886;6.533333333;12.32528473;2.033333333;7.165450311;84.8125;21.94191379
İLKBAHAR;35;7.571428571;1.399279526;6.457142857;2.173948118;78.72727273;26.94354367;3.35483871;8.043831538;8.625;16.11801236;3.709677419;9.920327778;2.064516129;6.292511337;68.875;34.3968772
KONFOR;41;7.658536585;1.352955212;5.365853659;2.210838049;76.38461538;26.08852882;4.558823529;7.675980547;5.085714286;11.21021443;5.382352941;13.23222583;2.176470588;4.776651472;40.13513514;33.7928018
TİYATRO;37;4.675675676;2.848528412;5.216216216;2.382052513;69.17647059;29.14485306;6.181818182;15.51300774;19.09090909;27.17232466;8.03030303;17.33580985;2.242424242;5.500172174;78.76470588;22.66095136
ALÇAKGÖNÜLLÜ;33;6.03030303;3.225725194;5.424242424;2.398310643;73.07692308;26.61116018;3.074074074;5.770788014;7.555555556;15.92611144;2.076923077;4.765904547;2.259259259;4.301990528;20.68965517;23.78640585
İYİLEŞTİRMEK;35;8.114285714;1.254906338;5.705882353;2.342355869;83.6875;23.13974029;3.161290323;6.372319171;7.483870968;17.64439659;9.607142857;20.84926375;2.333333333;5.108028389;45.66666667;34.86855449
BİSİKLET;42;6.707317073;1.520590386;4.853658537;2.806786201;71.6;33.92132678;7.333333333;19.70931614;18.39473684;29.42561807;21.45945946;29.17818305;2.342857143;6.135445989;92.94871795;11.21781646
BARIŞ;40;8.025;1.790108147;6.384615385;2.390941068;84.61111111;24.92420256;13.77142857;27.67467064;14.51428571;28.00879214;18.82857143;29.51717916;2.342857143;6.539215896;19.81081081;24.09453354
İSKELE;38;5.351351351;1.975069847;3.837837838;2.640638743;46.81818182;38.76729819;5.515151515;12.83822713;15.39393939;26.9187892;9.151515152;15.87474648;2.393939394;5.367374789;87.17142857;18.47651246
AHŞAP;28;5.714285714;1.718249386;4.035714286;2.70092087;41.61538462;34.6341761;2.24;5.8685603;6.24;13.56244816;5.8;12.35246264;2.52;5.292447449;87.59259259;24.4213955
MELEK;40;7.5;1.535895296;5.4;2.529822128;69.3125;33.61685205;5.411764706;11.17930352;8.696969697;19.15640371;8.28125;22.089604;2.558823529;6.95522989;17.97222222;27.23599101
TATİL;41;7.775;1.746608435;6.825;2.44831182;85.22857143;24.18687748;3.71875;7.948359031;7.875;18.34393633;5.125;12.57172968;2.677419355;6.068427016;70.6;26.9911863
MİNNETTAR;34;7.090909091;1.465512631;5.15625;2.411121744;72.46153846;26.26667968;5.5;10.73416146;11.67857143;15.73637817;5.892857143;9.274973438;2.678571429;5.491094281;14.51612903;18.23526066
